date,open,close,high,low
2018/4/16,202.88,202.6,202.57,202.88
2018/4/17,203,202.71,202.6,203
2018/4/18,204.36,204.39,204.36,204.95
2018/4/19,205.15,206.37,205.15,206.48
2018/4/20,204.1,204.35,203.83,204.46
2018/4/23,202.3,202.44,202.3,202.5
2018/4/24,201.86,201.53,201.53,201.94
2018/4/25,202.94,202.42,202.37,203.71
2018/4/26,200.6,199.9,199.9,200.6
2018/4/27,199.5,199.49,199.25,199.65
2018/5/2,197.89,198.29,197.89,198.34
2018/5/3,198.55,198.33,198.2,198.55
2018/5/4,199.2,199.03,198.8,199.2
2018/5/7,202.5,202.5,201.82,202.5
2018/5/8,201.65,201.2,201.15,201.65
2018/5/9,201.75,201.49,201.3,201.82
2018/5/10,202.33,202.39,202.33,202.45
2018/5/11,203.35,203.24,203.15,203.35
2018/5/14,203.15,203.58,203.15,203.7
2018/5/15,201,200.44,200.36,201
2018/5/16,200.25,199.17,199.1,200.25
2018/5/17,197.77,197.39,196.77,197.77
2018/5/18,197.12,197.05,196.64,197.3
2018/5/21,196.5,195.39,195.3,196.5
2018/5/22,198.68,198.7,198.6,198.84
2018/5/23,200.5,200.34,200.15,200.5
2018/5/24,200.35,200.84,200.35,201.18
2018/5/25,201.75,201.85,201.73,201.94
2018/5/28,200.2,200.13,200,200.37
2018/5/29,201.58,201.59,201.39,201.82
2018/5/30,202,202.05,201.85,202.36
2018/5/31,202.6,202.6,202.28,202.87
2018/6/1,202.1,202.41,201.9,202.6
2018/6/4,201.45,200.93,200.86,201.45
2018/6/5,202.13,199.8,199.8,202.13
2018/6/6,200.7,200.7,200.7,200.7
2018/6/7,200.76,200.85,200.76,201.12
2018/6/8,201.56,199.57,199.5,201.56
2018/6/11,202.23,201.93,201.88,202.23
2018/6/12,201.41,201.36,201.35,201.41
2018/6/13,199.8,199.31,199.1,199.8
2018/6/14,199.58,200.51,199.55,200.7
2018/6/15,201.4,201.3,201.2,201.4
2018/6/19,198.5,197.99,197.8,198.5
2018/6/20,195.46,194.74,194.66,195.5
2018/6/21,195.75,195.29,195.18,195.85
2018/6/22,195,194.84,194.76,195
2018/6/25,199.15,198.7,198.7,199.15
2018/6/26,197.36,197.01,197,197.36
2018/6/27,198.36,198.22,198.08,198.36
2018/6/28,197.14,196.84,196.6,197.14
2018/6/29,196.66,195.53,194.85,196.66
2018/7/2,195.7,195.59,195.5,195.7
2018/7/3,190.15,189.86,189.2,191.08
2018/7/4,195.38,194.73,194.4,195.76
2018/7/5,194.62,194.58,194.5,194.62
2018/7/6,195.2,194.89,194.65,195.25
2018/7/9,196.5,196.96,196.5,197.06
2018/7/10,196.14,195.99,195.57,196.14
2018/7/11,194.5,195.16,194.5,195.3
2018/7/12,193.6,193.74,193.6,194
2018/7/13,193.61,195.58,193.61,195.8
2018/7/16,194.02,193.91,193.8,194.02
2018/7/17,192.8,192.92,192.8,192.96
2018/7/18,191.46,190.92,190.7,191.46
2018/7/19,190.25,191.7,190.25,192.08
2018/7/20,189.5,191.48,189.5,191.75
2018/7/23,195.7,194.85,194.75,195.7
2018/7/24,197.22,197.4,197.22,197.57
2018/7/25,199.42,197.77,197.5,199.42
2018/7/26,198.1,197.85,197.66,198.1
2018/7/27,197.51,196.12,196.1,197.51
2018/7/30,196.78,196.11,196,196.78
2018/7/31,196.5,196.77,196.5,196.86
2018/8/1,198,198.08,198,198.2
2018/8/2,196,194.8,194.55,196
2018/8/3,196.9,196.9,196.9,196.9
2018/8/6,197.3,197.25,197.22,197.3
2018/8/7,195.99,195.98,195.8,197.14
2018/8/8,196.02,196.02,195.96,196.16
2018/8/9,197.2,196.72,196.1,197.2
2018/8/10,196.92,196.73,196.65,196.92
2018/8/13,196.28,194.78,194.5,196.28
2018/8/14,194.22,191.44,190.82,194.22
2018/8/15,190.8,188.98,188.88,190.8
2018/8/16,186.96,186.09,182.96,186.96
2018/8/17,187.11,186.67,186.6,187.11
2018/8/20,185.53,187.88,185.53,187.98
2018/8/21,188.88,189.65,188.88,189.81
2018/8/22,188.62,188.12,188,189
2018/8/23,187.82,186.8,185.99,187.82
2018/8/24,186.88,186.95,186.24,187.37
2018/8/27,187.64,187.22,186.66,187.64
2018/8/28,190.56,190.16,190.08,190.92
2018/8/29,190.55,187.51,187.14,190.55
2018/8/30,188.15,188.27,188,188.5
2018/8/31,188.35,188.32,188.26,188.62
2018/9/3,186.2,186.85,186.2,187.05
2018/9/4,186.55,186.7,185.8,186.78
2018/9/5,185,185,185,185.27
2018/9/6,186.57,186.4,186,186.57
2018/9/7,187.65,187.62,187.5,187.8
2018/9/10,186,185.48,185.42,186.05
2018/9/11,187.35,187.78,187.35,187.96
2018/9/12,187.96,187.96,187.96,187.96
2018/9/13,190.17,190.29,190.17,190.61
2018/9/14,191.28,191.73,191.28,191.76
2018/9/17,189.02,188.96,188.95,189.25
2018/9/18,189.88,190.47,189.88,190.74
2018/9/19,193,194.48,193,194.62
2018/9/20,195.62,195.4,195.3,195.62
2018/9/21,197.66,197.79,197.5,197.92
2018/9/25,196.5,196.87,196.33,196.93
2018/9/26,195.9,196.3,195.9,196.65
2018/9/27,195.9,196.45,195.6,196.62
2018/9/28,193.5,192.74,192.48,193.5
2018/10/8,195.3,195.31,195,195.5
2018/10/9,196.87,196.83,196.52,197.16
2018/10/10,197.75,197.31,197.3,197.75
2018/10/11,196.94,196.17,196.14,196.94
2018/10/12,199.98,200.45,199.98,200.61
2018/10/15,201.35,201.14,200.91,201.43
2018/10/16,203.16,201.25,200.9,203.16
2018/10/17,200.52,200.19,200,200.52
2018/10/18,200,198.89,198.8,200
2018/10/19,199,199.23,199,199.3
2018/10/22,199.15,199.72,199.15,199.8
2018/10/23,200.36,196.7,196.5,200.36
2018/10/24,199.38,199.41,199.16,199.6
2018/10/25,199.7,199.56,199.45,199.8
2018/10/26,198.86,198.32,198.28,198.86
